Stories the export revealed (not in the original guide),,
,,
Story,Tier,Why it matters
The Big Kids Club,A,Inclusion/apology/not excluding friends. Different cast texture (Nana Rose) but top-tier values.
Winchester and the Laser Tag Mystery,A,'Asking is braver than force.' Sharing opens doors. Excellent.
The Big School Adventure,A,Starting-school nerves handled beautifully. Directly useful for the boys' real life.
The Mixed-Up Birthday Magic,A,Birthday-magic mix-up; sharing/gratitude.
The Wishing Tree Express,A,Strong warmth. Needs a confirming read for canon-fit.
The Five-Year-Olds Only Club,A,Companion to Big Kids Club — inclusion theme. Possible near-duplicate; compare.
When Theo Had to Move Away,A,"Friendship & moving/loss. Big feelings, gently done."
Harry Joins the Adventure Club,A,Inclusion of a new friend. NB 'Harry' is a one-off guest — check canon fit.
The Secret of Miller's Cottage,A,Longer grounded mystery. Read to confirm.
The Day Before Tomorrow,A,Patience/anticipation theme. Confirm on read.
The Case of the Missing Teddy Bears,A,"Solid mystery, kind resolution. Confirm on read."
The Great Sock Monster Hunt,A,Fun household mystery. Lighter on affirmation.
